,Features.SpearmanCorrelation.Mean,Features.SpearmanCorrelation.StandardDeviation,Features.SpearmanCorrelation.Skew,Features.SpearmanCorrelation.Kurtosis,FeaturesLabels.SpearmanCorrelation.Mean,FeaturesLabels.SpearmanCorrelation.StandardDeviation,FeaturesLabels.SpearmanCorrelation.Skew,FeaturesLabels.SpearmanCorrelation.Kurtosis,Features.Mean.Mean,Features.Mean.StandardDeviation,Features.Mean.Skew,Features.Mean.Kurtosis,Features.StandardDeviation.Mean,Features.StandardDeviation.StandardDeviation,Features.StandardDeviation.Skew,Features.StandardDeviation.Kurtosis,Features.Skew.Mean,Features.Skew.StandardDeviation,Features.Skew.Skew,Features.Skew.Kurtosis,Features.Kurtosis.Mean,Features.Kurtosis.StandardDeviation,Features.Kurtosis.Skew,Features.Kurtosis.Kurtosis,Number of Examples,Number of Features,Features.Entropy.Mean,Features.Entropy.StandardDeviation,Features.Entropy.Skew,Features.Entropy.Kurtosis,Features.MutualInformation.Mean,Features.MutualInformation.StandardDeviation,Features.MutualInformation.Skew,Features.MutualInformation.Kurtosis,FeaturesLabels.MutualInformation.Mean,FeaturesLabels.MutualInformation.StandardDeviation,FeaturesLabels.MutualInformation.Skew,FeaturesLabels.MutualInformation.Kurtosis,n_estimators,pruning_method,pruning_cp,ds,Algorithm
0,0.24321637960660222,0.17061657641556327,0.7510558831681486,-0.609505351910482,0.3485691368529924,0.31049293797503746,1.301144569721027,0.45703273837976344,1.0,0.0,0.0,-3.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,-3.0,-3.0,0.0,0.0,-3.0,345,6,,,,,,,,,,,,,50,0,0.0,-1,1
1,0.24321637960660222,0.17061657641556327,0.7510558831681486,-0.609505351910482,0.3485691368529924,0.31049293797503746,1.301144569721027,0.45703273837976344,1.0,0.0,0.0,-3.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,-3.0,-3.0,0.0,0.0,-3.0,345,6,,,,,,,,,,,,,50,0,0.0,-1,2
2,0.24321637960660222,0.17061657641556327,0.7510558831681486,-0.609505351910482,0.3485691368529924,0.31049293797503746,1.301144569721027,0.45703273837976344,1.0,0.0,0.0,-3.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,-3.0,-3.0,0.0,0.0,-3.0,345,6,,,,,,,,,,,,,50,1,0.25,-1,1
3,0.24321637960660222,0.17061657641556327,0.7510558831681486,-0.609505351910482,0.3485691368529924,0.31049293797503746,1.301144569721027,0.45703273837976344,1.0,0.0,0.0,-3.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,-3.0,-3.0,0.0,0.0,-3.0,345,6,,,,,,,,,,,,,50,1,0.25,-1,2
4,0.24321637960660222,0.17061657641556327,0.7510558831681486,-0.609505351910482,0.3485691368529924,0.31049293797503746,1.301144569721027,0.45703273837976344,1.0,0.0,0.0,-3.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,-3.0,-3.0,0.0,0.0,-3.0,345,6,,,,,,,,,,,,,50,1,0.5,-1,1
5,0.24321637960660222,0.17061657641556327,0.7510558831681486,-0.609505351910482,0.3485691368529924,0.31049293797503746,1.301144569721027,0.45703273837976344,1.0,0.0,0.0,-3.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,-3.0,-3.0,0.0,0.0,-3.0,345,6,,,,,,,,,,,,,50,1,0.5,-1,2
6,0.24321637960660222,0.17061657641556327,0.7510558831681486,-0.609505351910482,0.3485691368529924,0.31049293797503746,1.301144569721027,0.45703273837976344,1.0,0.0,0.0,-3.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,-3.0,-3.0,0.0,0.0,-3.0,345,6,,,,,,,,,,,,,50,1,0.75,-1,1
7,0.24321637960660222,0.17061657641556327,0.7510558831681486,-0.609505351910482,0.3485691368529924,0.31049293797503746,1.301144569721027,0.45703273837976344,1.0,0.0,0.0,-3.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,-3.0,-3.0,0.0,0.0,-3.0,345,6,,,,,,,,,,,,,50,1,0.75,-1,2
8,0.24321637960660222,0.17061657641556327,0.7510558831681486,-0.609505351910482,0.3485691368529924,0.31049293797503746,1.301144569721027,0.45703273837976344,1.0,0.0,0.0,-3.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,-3.0,-3.0,0.0,0.0,-3.0,345,6,,,,,,,,,,,,,50,0,0.0,0,1
9,0.24321637960660222,0.17061657641556327,0.7510558831681486,-0.609505351910482,0.3485691368529924,0.31049293797503746,1.301144569721027,0.45703273837976344,1.0,0.0,0.0,-3.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,-3.0,-3.0,0.0,0.0,-3.0,345,6,,,,,,,,,,,,,50,0,0.0,0,2
